hough_no_lines,hough_line_sd,hough_sd,hough_kurtosis,hough_max_z
24,0.717397397812,104.657743815,-0.6722388428228867,3.08575350689
22,0.929739537529,101.300217369,1.2771845788940235,3.93465098449
20,1.12646314379,86.6868884101,2.8463588266323585,4.25081585876
2,0.0263261954211,17.0293252288,42.95116975294091,17.3848970561
20,0.971693021772,107.472461463,0.4375237654787134,3.17471831409
14,1.08973767329,35.5721947131,3.913734924807118,7.48108193112
3,1.42763264402,29.117602795,25.95654387896312,10.607210732
35,0.890064689266,104.641240268,0.2228332561236086,3.03578206055
9,1.1270837026,60.1343156885,6.136922094194251,6.69369110253
15,1.26517861701,76.2961420192,3.898442368857256,4.65277400627
33,1.06039491801,94.7446887686,0.14834977589300768,3.75113594777
2,0.00877539847371,21.949516894,59.044339156793825,16.6775002458
11,1.1505730043,71.3447625156,2.268268529459431,4.87503485508
2,0.0263261954211,18.7793700908,73.28576512925186,19.5397051843
12,1.0031233275,49.9817345875,6.217493522198049,6.14718513357
1,0.0,17.9655220332,41.2652788678889,13.6006804478
43,0.89764863243,148.982805748,-0.8101050525816804,2.56208089306
1,0.0,18.6086880566,73.88099194303446,20.8531186695
19,1.15114070032,66.7998477488,0.7264555659024738,4.15080786376
22,1.04965578724,101.743670839,0.9039611548992448,3.49349247486
2,0.0351015938949,15.5289219887,34.08103146025905,13.1256886158
2,0.0175507969474,30.9325462095,34.89765100858471,12.5317372531
30,1.05787880533,61.4463931569,0.7852280549587674,4.24050161491
3,0.677065577156,26.128014497,15.787795951654203,14.2709326062
2,0.0175507969474,28.61239546,36.59564055547378,13.0729310261
1,0.0,15.8449378543,71.04024970838425,19.1208420156
18,1.07315128771,94.1782554353,1.2006057227714422,3.83410264783
4,1.32542655248,45.6608569705,14.24475343169916,8.29339234442
23,0.854824628309,75.1085631628,-0.11235038249684814,2.76827360125
14,1.43793959162,90.8602073153,2.417101479833506,3.93497998178
2,1.47426694358,14.2683120083,64.92218697448588,16.8301569867
3,0.016547050049,44.0032071394,15.704367541899213,8.65833602015
